Issue Type,Issue ID,Parent ID,Epic Link,Epic Name,Parent Link,Parent,Summary,Component/s,Priority,Story Points,Labels,Labels,Labels,Description,Acceptance Criteria
Epic,99,,,Reactive Field Collection (Phase 2),89,89,Reactive Field Collection (Phase 2),Autopilot Engine,Highest,,backend,ai,llm,"Phase 2: a dedicated expert prompt for the identified task drives a reactive conversation. The expert knows which fields remain, the client's current account state, the field validation rules, and how to format the proposedAction JSON. It runs only when the client sends a new message (no polling) and exits with shouldExitAutopilot + a populated proposedAction when every field is confirmed.

Value: structured, reliable collection turns messy natural language into a clean, reviewable action.

=== TECHNICAL SCOPE ===
A per-task expert prompt (buildTaskSystemPrompt switch case) handles each subsequent message. It knows the
remaining fields (filterFields applies requiresMultipleAccounts / requiresAccountTypes / skipWhenFieldIs),
the current account state (summarizeAccounts header), the business rules, and the proposedAction JSON
contract. Exits with shouldExitAutopilot=true + proposedAction when all required fields are confirmed.
proposedAction shape: {taskId, fields:[{key,label,value}], ...} stamped via withSubmissionType.","Definition of done:
- The expert collects only the fields still needed, honoring conditional skips.
- It runs reactively (one turn per client message) and never double-sends.
- On completion it emits a well-formed proposedAction and exits."
Story,100,,Reactive Field Collection (Phase 2),,,99,Collect a task's fields conversationally,Autopilot Engine,High,8,backend,ai,,"As an agent, I want autopilot to gather every required field for the identified task by conversing with the client, so that a complete, structured request is assembled for me to review.

=== TECHNICAL DESIGN ===
Expert enumerates remaining fields and restates captured values; on completion emits the proposedAction
JSON; the server validates that all required (post-filter) fields are present before honoring the exit.","Scenario: Reactive collection to completion
  Given a task is in progress
  When the client answers a question
  Then the expert records it, asks only for what remains, and on the final field emits a proposedAction and exits"
Sub-task,101,100,,,,100,filterFields conditional logic,Autopilot Engine,,,,,,Apply requiresMultipleAccounts / requiresAccountTypes / skipWhenFieldIs to compute remaining fields.,
Sub-task,102,100,,,,100,proposedAction JSON contract + required-field validation,Autopilot Engine,,,,,,"Emit {taskId, fields:[{key,label,value}]}; server validates all required fields before honoring exit.",
Story,103,,Reactive Field Collection (Phase 2),,,99,Follow up on partially answered prompts,Autopilot Engine,,3,ai,,,"As an investor, I want the assistant to notice when I answered only part of a multi-part question and ask for the rest, so that nothing required is silently skipped.

=== TECHNICAL DESIGN ===
Prompt rule (shared block): if multiple items were asked and only some answered, follow up for the rest
before moving on.","Scenario: Partial answer triggers follow-up
  Given the assistant asked for two pieces of information
  When I provide only one
  Then it follows up for the missing piece before moving on"
Epic,104,,,Cross-Cutting Guardrails (All Tasks),89,89,Cross-Cutting Guardrails (All Tasks),Autopilot Engine,Highest,,backend,ai,compliance,"Shared constants injected into all 19 task prompts so behavior is uniform: FORBIDDEN_TOPICS (financial advice, trade execution, fraud/security incidents, inheritance) each with a scripted response; a no-trades variant for tasks that legitimately handle trades; language rules for restating client-stated vs database-sourced facts; a no-repeat / frustrated-yes rule; and hallucination protection. Changing one constant changes every expert at once.

Value: consistent, compliant handling of sensitive topics regardless of which task is active.

=== TECHNICAL SCOPE ===
Shared constants injected into every task prompt: FORBIDDEN_TOPICS (advice, trades, fraud, inheritance -
each with a scripted response, plus the field-follow-up + restating-language rules) and
FORBIDDEN_TOPICS_NO_TRADES (same minus the trade clause, for trade-handling tasks). Editing one constant
changes all 19 experts - scope changes carefully. Plus a hallucination rule: never invent account facts.","Definition of done:
- All 19 experts share identical forbidden-topic handling.
- Restating language distinguishes client-stated from database-sourced facts.
- Experts do not invent account facts they were not given."
Story,105,,Cross-Cutting Guardrails (All Tasks),,,104,Apply forbidden-topic handling uniformly,Autopilot Engine,High,5,ai,compliance,,"As a compliance owner, I want every task expert to handle advice, trades, fraud, and inheritance with the same scripted responses, so that sensitive topics are handled consistently no matter which task is active.

=== TECHNICAL DESIGN ===
Define FORBIDDEN_TOPICS once and inject it into every buildTaskSystemPrompt case; trade-handling tasks use
the FORBIDDEN_TOPICS_NO_TRADES variant.","Scenario: Uniform forbidden-topic response
  Given any of the 19 tasks is active
  When the client raises a forbidden topic
  Then the expert gives the shared scripted response and routes appropriately"
Story,106,,Cross-Cutting Guardrails (All Tasks),,,104,Restate facts with correct attribution,Autopilot Engine,,3,ai,,,"As an investor, I want the assistant to say ""Got it - X will be Y"" for what I just told it and ""I see X is currently"" for what it read from my account, so that I can trust which facts came from me versus from the system.

=== TECHNICAL DESIGN ===
Prompt rule: ""Got it - X will be Y"" for client-stated values; ""I see X is currently"" for database-sourced
values.","Scenario: Attribution language
  Given the assistant restates information
  Then client-stated values use ""Got it"" phrasing and database values use ""I see ... currently"" phrasing"
Story,107,,Cross-Cutting Guardrails (All Tasks),,,104,Prevent the assistant from inventing account facts,Autopilot Engine,High,3,ai,compliance,,"As a compliance owner, I want experts to refuse to fabricate account data they were not provided, so that clients are never given hallucinated balances, holdings, or statuses.

=== TECHNICAL DESIGN ===
Hallucination-protection rule in all system prompts; route unknown facts through client-tools (get_*) or
decline rather than guessing.","Scenario: No hallucinated data
  Given the expert lacks a specific account fact
  When the client asks for it
  Then it does not invent a value and instead fetches it or declines"
Epic,108,,,The 19 Task Experts,89,89,The 19 Task Experts,Autopilot Engine,Highest,,backend,ai,,"The catalog of nineteen task experts. Each is a narrow, testable conversational specialist with its own field schema (including conditional skips and account-type/eligibility filters), business rules, and an execution type of real (writes data) or mock (returns a realistic confirmation). Each story below is one expert; the engine selects exactly one per conversation.

Value: per-task experts keep each flow precise and verifiable instead of blurring rules in one giant general agent.

=== TECHNICAL SCOPE ===
Each expert = a case in buildTaskSystemPrompt + a TASKS entry {id,name,keywords,fields[],executionType
real|mock, submissionType?} + an execute-task handler. Fields support requiresMultipleAccounts (skip the
account picker when the client has one account), requiresAccountTypes, skipWhenFieldIs (conditional skip),
and enum options. Adding a task = tasks.ts entry + prompt case + execute-task case.","Definition of done:
- Each expert collects exactly its required fields and honors its skips/eligibility.
- Each exits with a correctly shaped proposedAction stamped with its submission type.
- Real-execution experts write the right records; mock experts return clean confirmations."
Story,109,,The 19 Task Experts,,,108,Autopilot: Update Contact Information,Autopilot Engine,,3,ai,,,"As an investor, I want to update my phone, email, or mailing address through chat, so that I can keep my contact details current without a form or a call.

=== TECHNICAL DESIGN ===
Fields: infoType (enum: Phone/Email/Mailing address), newValue (text). executionType mock. Echo the new
value back for confirmation before exit.","Scenario: Collect contact change
  Given I want to update contact info
  When I provide which item and the new value
  Then autopilot produces a Proposed Action to update that field"
Story,110,,The 19 Task Experts,,,108,Autopilot: Change Beneficiary Designations,Autopilot Engine,High,8,ai,self-service,,"As an IRA account holder, I want to add, update, or remove a beneficiary on an eligible account through chat, so that I control inheritance without paperwork, with the allocations validated.

=== TECHNICAL DESIGN ===
Fields: accountId (only if multiple accounts), action (Add/Update/Remove), beneficiaryName, relationship
(skip if Remove), percentage (skip if Remove), beneficiaryType Primary/Secondary (skip if Remove).
executionType REAL. Pre-prompt: fetch current beneficiaries from DynamoDB; filter accounts to IRA/SEP only
(iraAccounts) for BOTH the picker and the summarizeAccounts header. Enforce 100% allocation; acknowledge
existing beneficiaries; handle ADD/REMOVE/UPDATE/REPLACE-ALL. On execute, atomically replace that account's
beneficiaries, preserving others.","Scenario: Collect a beneficiary change
  Given I choose an eligible (IRA/SEP) account and an action
  When the action is add or update
  Then autopilot collects name, relationship, percentage, and primary/secondary
  And for remove it collects only the name

Scenario: Allocation and existing-beneficiary rules
  Given existing beneficiaries are present
  Then the expert acknowledges them and enforces a 100% total
  And taxable accounts are never offered for beneficiaries

Scenario: Real write on approval
  Given the Proposed Action is approved
  Then the beneficiaries for that account are atomically replaced while other accounts are preserved"
Sub-task,111,110,,,,110,Fetch current beneficiaries before building the prompt,Autopilot Engine,,,,,,Read existing beneficiaries from DynamoDB so the expert can acknowledge them.,
Sub-task,112,110,,,,110,IRA/SEP-only account filter (iraAccounts),Autopilot Engine,,,,,,Filter both the account picker and the summarizeAccounts header to IRA/SEP; never taxable.,
Sub-task,113,110,,,,110,Enforce 100% allocation + ADD/REMOVE/UPDATE/REPLACE-ALL semantics,Autopilot Engine,,,,,,Validate totals; support all four actions; atomic per-account replace on execute.,
Story,114,,The 19 Task Experts,,,108,Autopilot: Add Authorized Account User (Type 3),Autopilot Engine,High,5,ai,compliance,,"As an account owner, I want to grant another person view-only, limited, or full access to my account, so that I can add a trusted user, with the authorization requiring my own approval.

=== TECHNICAL DESIGN ===
Fields: personName, personEmail, accessLevel (View-only / Limited / Full, with the access definitions in
the question text). executionType mock. submissionType 'client' (Type 3): the proposedAction is stamped
client-submitted; the agent's card reads ""Send to client"" and the client approves in their own chat.","Scenario: Collect access grant
  Given I want to add an authorized user
  When I provide their name, email, and access level
  Then autopilot produces a Proposed Action marked as client-submitted (Type 3)

Scenario: Owner must approve
  Given the agent sends the action to me
  Then I approve it in my own chat before it executes"
Story,115,,The 19 Task Experts,,,108,Autopilot: Open a New Account,Autopilot Engine,,5,ai,,,"As an investor, I want to open a Roth IRA, Traditional IRA, SEP-IRA, or Taxable account through chat, so that I can start a new account in conversation.

=== TECHNICAL DESIGN ===
Fields: accountType (Roth/Traditional/SEP/Taxable), initialAmount, fundingSource (ACH/Check/Rollover).
executionType mock.","Scenario: Collect new-account details
  Given I want to open an account
  When I provide account type, initial contribution, and funding source
  Then autopilot produces a Proposed Action to open it"
Story,116,,The 19 Task Experts,,,108,Autopilot: Buy / Make a Contribution,Autopilot Engine,,5,ai,,,"As an investor, I want to buy shares of a fund or contribute to an account through chat, so that I can place a purchase request for an agent to execute.

=== TECHNICAL DESIGN ===
Fields: accountId (if multiple), fund (from FUND_PICKLIST), amount, fundingSource (Linked bank / Cash in
account). executionType mock. Uses FORBIDDEN_TOPICS_NO_TRADES.","Scenario: Collect purchase
  Given I want to buy into an account
  When I provide account (if I have several), fund, amount, and funding source
  Then autopilot produces a Proposed Action for the purchase"
Story,117,,The 19 Task Experts,,,108,Autopilot: Sell Fund Shares,Autopilot Engine,,5,ai,,,"As an investor, I want to sell shares of a fund through chat, so that I can request a sale with the reason captured.

=== TECHNICAL DESIGN ===
Fields: accountId (if multiple), fund, amount (text - allows a dollar amount or full redemption), reason
(Withdrawal/Exchange/Rebalancing/Other). executionType mock. NO_TRADES variant.","Scenario: Collect sale
  Given I want to sell
  When I provide account, fund, amount or full redemption, and reason
  Then autopilot produces a Proposed Action for the sale"
Story,118,,The 19 Task Experts,,,108,Autopilot: Exchange Between Funds,Autopilot Engine,,3,ai,,,"As an investor, I want to move money from one fund to another within an account through chat, so that I can rebalance without separate buy/sell steps.

=== TECHNICAL DESIGN ===
Fields: accountId (if multiple), fromFund, toFund, amount (text - dollar amount or full balance).
executionType mock. NO_TRADES variant.","Scenario: Collect exchange
  Given I want to exchange funds
  When I provide account, from-fund, to-fund, and amount
  Then autopilot produces a Proposed Action for the exchange"
Story,119,,The 19 Task Experts,,,108,Autopilot: Change Dividend Reinvestment (DRIP),Autopilot Engine,,3,ai,,,"As an investor, I want to turn dividend reinvestment on or off for a fund through chat, so that I control whether dividends buy more shares or pay out as cash.

=== TECHNICAL DESIGN ===
Fields: accountId (if multiple), fund, dripEnabled (ON reinvest / OFF cash). executionType mock.","Scenario: Collect DRIP change
  Given I want to change dividend handling
  When I provide account, fund, and on/off
  Then autopilot produces a Proposed Action for the DRIP setting"
Story,120,,The 19 Task Experts,,,108,Autopilot: Set Up Automatic Investment,Autopilot Engine,,5,ai,self-service,,"As an investor, I want to create a recurring automatic investment through chat, so that I can start dollar-cost-averaging on a schedule.

=== TECHNICAL DESIGN ===
Fields: accountId (if multiple), fund, amount, frequency (Monthly/Quarterly), dayOfMonth (1-28).
executionType REAL - creates an autoInvest schedule record; recompute nextDate.","Scenario: Collect new auto-invest
  Given I want to set up automatic investing
  When I provide account, fund, amount, frequency, and day of month
  Then autopilot produces a Proposed Action that, on approval, creates the schedule (real write)"
Story,121,,The 19 Task Experts,,,108,Autopilot: Modify Auto-Invest Schedule,Autopilot Engine,,3,ai,self-service,,"As an investor, I want to change the amount, frequency, or day of an existing auto-invest schedule through chat, so that I can adjust recurring investing as my situation changes.

=== TECHNICAL DESIGN ===
Fields: scheduleDescription (free text to identify the schedule), amount, frequency (Monthly/Quarterly/Keep
the same), dayOfMonth. executionType REAL - updates the matched schedule.","Scenario: Collect auto-invest change
  Given I describe which schedule to change
  When I provide the new amount, frequency, and day
  Then autopilot produces a Proposed Action that updates the schedule (real write)"
Story,122,,The 19 Task Experts,,,108,Autopilot: Pause or Resume Auto-Invest,Autopilot Engine,,3,ai,self-service,,"As an investor, I want to pause or resume an auto-invest schedule through chat, so that I can temporarily stop and later restart recurring investing.

=== TECHNICAL DESIGN ===
Fields: scheduleDescription, action (Pause/Resume). executionType REAL - toggles active.","Scenario: Collect pause/resume
  Given I describe the schedule
  When I choose pause or resume
  Then autopilot produces a Proposed Action that toggles it (real write)"
Story,123,,The 19 Task Experts,,,108,Autopilot: Request a Distribution,Autopilot Engine,,5,ai,,,"As an investor, I want to request a one-time withdrawal from an account through chat, so that I can take money out with delivery and withholding captured correctly.

=== TECHNICAL DESIGN ===
Fields: accountId (if multiple), amount, deliveryMethod (ACH/Check), taxWithholding (ONLY for Traditional/
SEP via requiresAccountTypes). executionType mock.","Scenario: Collect distribution
  Given I want to withdraw
  When I provide account, amount, and delivery method
  Then autopilot also asks about federal tax withholding for Traditional/SEP IRAs
  And produces a Proposed Action for the distribution"
Story,124,,The 19 Task Experts,,,108,Autopilot: Set Up Recurring Distributions,Autopilot Engine,,5,ai,,,"As a retiree, I want to set up systematic recurring withdrawals through chat, so that I can create reliable retirement income.

=== TECHNICAL DESIGN ===
Fields: accountId (if multiple), amount, frequency (Monthly/Quarterly/Annually), startDate (datetime),
deliveryMethod (ACH/Check). executionType mock.","Scenario: Collect systematic withdrawal
  Given I want recurring distributions
  When I provide account, amount, frequency, start date, and delivery method
  Then autopilot produces a Proposed Action for the recurring plan"
Story,125,,The 19 Task Experts,,,108,Autopilot: Update RMD Settings,Autopilot Engine,,5,ai,self-service,,"As a retiree with a Traditional or SEP IRA, I want to set how and when I receive my Required Minimum Distribution through chat, so that I stay compliant with delivery and withholding I choose.

=== TECHNICAL DESIGN ===
eligibleAccountTypes: Traditional IRA, SEP-IRA (task is not offered otherwise). Fields: deliveryMethod
(ACH/Check), frequency (Annual December/Monthly/Quarterly), taxWithholding (0-99%). executionType REAL.","Scenario: Eligibility-gated RMD settings
  Given I hold a Traditional IRA or SEP-IRA
  When I provide delivery method, frequency, and withholding percentage
  Then autopilot produces a Proposed Action that writes my RMD preferences (real write)

Scenario: Not offered when ineligible
  Given I hold only Roth/taxable accounts
  Then this task is not eligible"
Story,126,,The 19 Task Experts,,,108,Autopilot: Roll Over From Another Institution,Autopilot Engine,,5,ai,,,"As an investor, I want to start rolling over an employer plan or outside account into Vanguard through chat, so that I can begin consolidating assets without a phone call.

=== TECHNICAL DESIGN ===
Fields: sourceInstitution, sourceAccountType (401k/Roth 401k/403b/IRA/Other), estimatedAmount,
targetAccountId (if multiple). executionType mock.","Scenario: Collect rollover
  Given I want to roll money in
  When I provide source institution, source type, estimated amount, and receiving account
  Then autopilot produces a Proposed Action to initiate the rollover"
Story,127,,The 19 Task Experts,,,108,Autopilot: Convert to Roth IRA,Autopilot Engine,,5,ai,compliance,,"As an investor with a Traditional or SEP IRA, I want to convert all or part of it to a Roth IRA through chat, so that I can initiate a conversion with the taxable nature made clear.

=== TECHNICAL DESIGN ===
eligibleAccountTypes: Traditional IRA, SEP-IRA. Fields: fromAccountId, amount (text - dollar or full
balance), taxYear. executionType mock. Convey clearly that a conversion is a taxable event.","Scenario: Collect Roth conversion
  Given I hold a Traditional or SEP IRA
  When I provide source account, amount, and tax year
  Then autopilot produces a Proposed Action and conveys that a conversion is a taxable event"
Story,128,,The 19 Task Experts,,,108,Autopilot: Request Tax Document,Autopilot Engine,,3,ai,,,"As an investor, I want to request a tax form (1099-R, 1099-B, 1099-DIV, or 5498) through chat, so that I can get the document I need for filing.

=== TECHNICAL DESIGN ===
Fields: formType (1099-R / 1099-B / 1099-DIV / 5498), taxYear. executionType mock.","Scenario: Collect tax-document request
  Given I need a tax form
  When I provide the form type and tax year
  Then autopilot produces a Proposed Action for the document"
Story,129,,The 19 Task Experts,,,108,Autopilot: Cancel or Reschedule Callback,Autopilot Engine,,3,ai,,,"As an investor, I want to cancel or reschedule a callback I previously arranged through chat, so that I can change my mind without re-explaining.

=== TECHNICAL DESIGN ===
Fields: action (Cancel/Reschedule), newScheduledTime (datetime; skip if Cancel). executionType mock - the
reschedule updates the EventBridge schedule.","Scenario: Collect callback change
  Given I have a callback arranged
  When I choose cancel, or reschedule with a new time
  Then autopilot produces a Proposed Action accordingly"
Story,130,,The 19 Task Experts,,,108,Autopilot: Update Security Settings,Autopilot Engine,,3,ai,security,,"As an investor, I want to change my password, manage two-factor authentication, or remove a trusted device through chat, so that I can keep my account secure.

=== TECHNICAL DESIGN ===
Fields: securityAction (Change password / Enable 2FA / Disable 2FA / Remove trusted device). executionType
mock.","Scenario: Collect security change
  Given I want to update security
  When I choose the security action
  Then autopilot produces a Proposed Action for it"
Epic,131,,,Callback Scope & Time Resolution,89,89,Callback Scope & Time Resolution,Autopilot Engine,High,,backend,ai,,"The conversational callback scope: it arranges a phone callback while the LLM never computes timestamps - it emits a day reference, hour, and minute, and the server resolves and validates the Eastern-Time to UTC instant (TZ-safe) and injects authoritative agent availability. Financial-advice requests are funneled here.

Value: reliable, correct scheduling (no timezone bugs) and a compliant home for advice requests.

=== TECHNICAL SCOPE ===
CALLBACK_PROMPT. The LLM NEVER computes timestamps: it emits {dayReference, hour24, minute}; the server
resolveCallbackTime (TZ-safe via Intl / date-fns-tz) resolves + validates the ET->UTC instant. The server
injects authoritative availability (describeCallbackAvailability) and composes the first-turn ""why a
callback"" opener deterministically. Advice requests short-circuit here (ADVICE_RE).","Definition of done:
- The model emits a structured time; the server resolves/validates ET->UTC.
- Real agent availability is injected into the conversation.
- Advice requests are handled in this scope."
Story,132,,Callback Scope & Time Resolution,,,131,Arrange a callback at a valid time,Autopilot Engine,High,5,ai,backend,,"As an investor, I want to arrange a callback by describing a day and time in plain language, so that I get a correctly scheduled call without timezone confusion.

=== TECHNICAL DESIGN ===
Expert emits {dayReference, hour24, minute}; resolveCallbackTime validates business hours / availability
and rejects invalid times; on success create the schedule via schedule-callback.","Scenario: Server resolves the time
  Given I describe a callback time conversationally
  When autopilot captures a day reference, hour, and minute
  Then the server resolves it to a validated ET->UTC instant and reflects real availability"
Sub-task,133,132,,,,132,Server-side resolveCallbackTime (TZ-safe ET->UTC),Autopilot Engine,,,,,,"LLM emits {dayReference,hour24,minute}; server resolves+validates via Intl/date-fns-tz.",
Sub-task,134,132,,,,132,Inject availability + deterministic opener,Autopilot Engine,,,,,,describeCallbackAvailability into the prompt; server composes the first-turn why-a-callback line.,
Epic,135,,,Proposed-Action Evidence Location,89,89,Proposed-Action Evidence Location,Autopilot Engine,Medium,,backend,ai,agent-app,"A post-hoc utility scope (locate-evidence) that, given a transcript and a Proposed Action, picks the authoritative transcript span for each collected field - the client's own statement, else the client-confirmed agent recap, never post-confirmation echoes. Every quote is validated server-side against the actual message text. Drives the evidence highlighting in the agent UI.

Value: lets agents verify, at a glance, exactly where each value in a Proposed Action came from.

=== TECHNICAL SCOPE ===
locate-evidence scope (LOCATE_EVIDENCE_PROMPT, model gpt-4o). Input {transcript, proposedAction}. One LLM
call picks the authoritative span per field (the client's statement, else the client-confirmed agent recap
- NEVER post-confirmation echoes). The SERVER validates every quote against the actual message text and
returns {evidence:[{fieldKey, messageId, start, end}]}. Early-returns before chat-turn logic; ANY failure
-> {evidence:[]} so the UI simply shows no highlights.","Definition of done:
- For each field it returns a validated {messageId, start, end} span or nothing.
- Post-confirmation echoes are never selected.
- Any failure yields an empty evidence set (no false highlights)."
Story,136,,Proposed-Action Evidence Location,,,135,Locate the transcript evidence for each collected field,Autopilot Engine,,5,backend,ai,,"As an agent, I want the system to identify where in the transcript each Proposed Action value was established, so that I can trust the card by seeing its source, and scrutinize anything unlocatable.

=== TECHNICAL DESIGN ===
Additive scope; for each field, validate that message.text.slice(start,end) equals the quoted span (reject
otherwise); return {evidence:[]} on any mismatch or failure.","Scenario: Validated spans only
  Given a Proposed Action and its transcript
  When evidence location runs
  Then each field maps to a validated client statement or confirmed recap span
  And degenerate or unverifiable cases return no evidence rather than a wrong span"
Epic,137,,,Idle Detection & Proactive Check-In,89,89,Idle Detection & Proactive Check-In,Autopilot Engine,Low,,backend,ai,agent-app,"The idle-check scope: when an agent has asked a question and the client goes quiet, an automatic timer triggers a gentle check-in message so the conversation does not stall.

Value: keeps conversations moving and reduces silent abandonment.

=== TECHNICAL SCOPE ===
idle-check scope. A client-side ~3-minute timer (started when the agent asks a question) triggers ONE
check-in turn. Guard against double-fire in React StrictMode (dev) and against firing while the client is
typing.","Definition of done:
- A check-in fires after the configured idle period following an agent question.
- It does not fire repeatedly or when the client is actively typing."
Story,138,,Idle Detection & Proactive Check-In,,,137,Nudge a quiet client with a check-in,Autopilot Engine,,3,ai,,,"As an agent, I want autopilot to send a friendly check-in when the client goes quiet after I asked something, so that conversations do not stall and I do not have to babysit silence.

=== TECHNICAL DESIGN ===
Timer lives in the agent column; on expiry POST /autopilot-turn scope=idle-check exactly once; clear the
timer on any new message.","Scenario: Idle check-in
  Given I asked the client a question
  When the client is idle past the threshold
  Then autopilot sends a single check-in message"
Feature,139,,,,,,Agent Workspace,Agent Workspace,Highest,,agent-app,connect,react,"A four-column dashboard that lets a single representative handle up to four simultaneous client chats. Each column carries the client profile, the live chat thread, an AI support panel (suggested replies, predicted topics/questions, recommended articles, autopilot controls), and a Proposed Action card the agent reviews and approves. The workspace also manages incoming contacts, detects client disconnects, and auto-generates after-call work. The guiding principle: the AI does the work, the agent does the judgment.

Value: multiplies agent capacity and quality - more concurrent conversations, less typing and lookup, and consistent wrap-up.

=== ARCHITECTURE & STACK ===
The agent SPA (React 18 + Vite + TS), served at /agent. Telephony/chat via Amazon Connect Streams + an
embedded CCP. agentStore (Zustand) holds up to 4 ContactSlots {contactId, clientId, status, messages,
proposedAction, proposedActionEvidence, customerTyping, customerDisconnected, ...}. A useConnectStreams
hook wires CCP events (contact.onConnecting/onConnected/onEnded, chatSession.onMessage/onTyping) into the
store. Layout: AgentDesktop (4-column grid) + FocusingDesktop (single contact). Per column: ChatColumn,
ProposedActionCard, AISupport, IncomingAlert, IntentLabel, ResponseTimer, AfterCallWork, AutopilotMenu.
Connection tokens via the agent-connection Lambda; agent->customer messages/typing via send-agent-message.
GOTCHA: chatjs routes unmapped event types (e.g. participant.left) to onMessage - use that to detect the
customer leaving. Because Connect ends the whole contact on customer disconnect, hold the slot at 'active'
(don't auto-advance to ACW) until the agent clicks End chat.","Definition of done:
- An agent can run up to four concurrent chats with per-column context and AI support.
- Incoming contacts, disconnects, and ACW are handled in every UI mode.
- Proposed Actions can be reviewed, edited, and submitted with evidence visible."
Epic,140,,,Multi-Chat Desktop & CCP Integration,139,139,Multi-Chat Desktop & CCP Integration,Agent Workspace,Highest,,agent-app,connect,,"The core desktop: an Amazon Connect CCP-backed, four-column layout where each column is one conversation slot showing client info, the chat thread, and AI support. Connection tokens are managed via the agent-connection Lambda; chat rendering and control messages are handled per column.

Value: the canvas that makes concurrent, context-rich handling possible.

=== TECHNICAL SCOPE ===
useConnectStreams subscribes to CCP/Streams events and maps them onto agentStore ContactSlots (max 4). The
agent-connection Lambda mints/refreshes the connection token (a raw fetch with the connection token is what
fixed the 403s on agent->customer sends). ChatColumn renders each slot's thread; control messages (agent
name, approval form, typing) are intercepted, not rendered.","Definition of done:
- Up to four slots render independently with correct client context.
- CCP connection and tokens are established reliably.
- Control messages (names, typing, approvals) are intercepted, not rendered as chat."
Story,141,,Multi-Chat Desktop & CCP Integration,,,140,Handle up to four chats at once,Agent Workspace,High,5,agent-app,connect,,"As an agent, I want a four-column desktop where each column is a separate client conversation, so that I can help several clients at once without losing track of any.

=== TECHNICAL DESIGN ===
agentStore keeps an array of <=4 slots keyed by contactId; each column reads only its slot so state never
bleeds across conversations.","Scenario: Independent slots
  Given I am handling multiple chats
  Then each column shows its own client info, thread, and AI support independently"
Story,142,,Multi-Chat Desktop & CCP Integration,,,140,See the client's profile and accounts alongside the chat,Agent Workspace,,3,agent-app,,,"As an agent, I want each column to show the client name, intent label, and account summary, so that I have the context I need without switching tools.

=== TECHNICAL DESIGN ===
On accept, load the client profile (client-data) plus the intent attributes from the contact; render
IntentLabel + an account summary panel.","Scenario: Client context panel
  Given a chat is active in a column
  Then I see the client name, AI intent label, and account details for that client"
Epic,143,,,Incoming Contact Management,139,139,Incoming Contact Management,Agent Workspace,High,,agent-app,connect,,"New contacts arrive as an alert card with a countdown timer, the client name, the AI-generated intent summary, and the account types held; agents accept or skip. A bonus-opportunity badge surfaces when a contact qualifies for an incentive.

Value: agents triage incoming work quickly and with context, improving acceptance and prioritization.

=== TECHNICAL SCOPE ===
IncomingAlert renders on contact.onConnecting with the client name, AI intentSummary, account types, and a
ResponseTimer countdown. Accept routes the contact into a slot; skip releases it. Show a bonus badge when
the contact qualifies (metadata). Guard the Accept/Close handlers against double-fire in React StrictMode
(dev).","Definition of done:
- Incoming alerts show name, intent summary, accounts, and a countdown.
- Accept routes the contact into a slot; skip releases it.
- Bonus badges render when applicable."
Story,144,,Incoming Contact Management,,,143,Triage incoming contacts with context and a timer,Agent Workspace,High,5,agent-app,,,"As an agent, I want incoming contacts to appear as a timed alert with the client name, intent summary, and accounts, so that I can decide to accept or skip with enough context and urgency.

=== TECHNICAL DESIGN ===
Render IncomingAlert + ResponseTimer; accept -> agentStore adds the slot + loads context; skip -> release.
De-dupe the StrictMode double-invoke.","Scenario: Accept an incoming contact
  Given a contact alert appears with a countdown
  When I accept it
  Then it opens in a column with the client context loaded

Scenario: Bonus opportunity badge
  Given an incoming contact qualifies for an incentive
  Then a bonus badge is shown on the alert"
Epic,145,,,Focus Mode,139,139,Focus Mode,Agent Workspace,Medium,,agent-app,ux,,"A single-contact focused view (FocusingDesktop) for agents who want to concentrate on one conversation while retaining the same AI support, Proposed Action, evidence, and disconnect behaviors as the grid.

Value: reduces cognitive load for complex conversations without losing any capability.

=== TECHNICAL SCOPE ===
FocusingDesktop renders one slot full-width, reusing the same ChatColumn/ProposedActionCard/AISupport
halves; evidence highlighting + disconnect handling must behave identically. GOTCHA: hidden focusing-mode
ChatColumns must bail on clientWidth===0 for the container-scoped evidence lookups.","Definition of done:
- Focus mode shows one contact full-width with full AI support and Proposed Action.
- Evidence highlighting and disconnect handling work identically to grid mode."
Story,146,,Focus Mode,,,145,Focus on one conversation full-width,Agent Workspace,,3,agent-app,ux,,"As an agent, I want to expand a single conversation into a focused view, so that I can concentrate on a complex case without distraction.

=== TECHNICAL DESIGN ===
Toggle focus -> render FocusingDesktop with the FocusMessageBubble mirror; verify evidence + disconnect
parity with the grid.","Scenario: Focus retains capabilities
  Given I focus a conversation
  Then I see its full thread, AI support, and Proposed Action
  And evidence highlighting and disconnect handling still work"
